city_name,cumulative_confirmed_cases(Feb19),population(10 thousand),GDP(10 thousand YUAN)
Maanshan,37,229,10425427
Sanmenxia,7,228,4316182
Baotou,11,224,24190700
Urumqi,23,223,27075290
Jincheng,10,221,2681085
Yuxi,14,219,7255575
Huaibei,27,217,6229180
Tonghua,4,217,1890231
Dongguan,92,211,75821200
Fushun,0,211,8137748
Xining,15,206,10086748
Pingxiang,33,200,6083233
Dongying,0,195,26365857
Baicheng,1,191,1676260
Wuwei,0,190,2722793
Yinchuan,33,189,11039244
Fuxin,8,186,1849479
Baiyin,4,182,2679410
Liaoyang,3,177,5135963
Beihai,44,175,9651455
Jixi,46,175,1654705
Bayannur,8,174,2421916
Haidong,0,172,1653467
Haikou,39,171,13905779
Tongling,29,171,8813428
Hebi,19,170,3880451
Zhangjiajie,5,170,2796735
Zhongshan,66,170,34503100
Jingdezhen,6,169,3854290
Shuozhou,8,164,4583205
Chizhou,17,162,3508409
Erdos,11,161,7467000
Heihe,14,161,349527
Ya'an,7,154,2398237
Guyuan,5,151,1176599
Huangshan,9,148,2869916
Benxi,3,148,5590042
Wuzhong,28,143,1895152
Yangquan,4,132,4440648
Zhangye,2,131,1646975
Panjin,11,130,9736271
Laiwu,0,129,8949700
Yingtan,18,128,2307944
Lijiang,7,123,1242906
Xinyu,130,122,7565744
Zhongwei,3,122,1716928
Baishan,0,120,3546055
Zhuhai,98,119,26751795
Liaoyuan,7,118,4251037
Yichun-HLJ,1,116,1650320
Ezhou,1338,111,9059200
Panzhihua,16,109,8425681
Hegang,5,101,1415313
Jiuquan,0,99,1687479
Fangchenggang,19,98,5657685
Zhoushan,10,97,9165154
Danzhou,15,96,2880400
Shuangyashan,52,94,1213525
Tongchuan,8,83,3105440
Qitaihe,17,79,1757953
Xigaze,0,79,731016
Shizuishan,1,74,3771905
Turpan,3,64,854603
Sanya,54,59,5298048
Hami,0,56,3591681
Lasa,1,54,2878800
Jinchang,1,46,1564325
Wuhai,2,44,4100777
Shannan,0,35,493693
Karamay,0,31,7445034
Jiayuguan,0,21,2109900
Linzhi,0,19,652800
Qingdao,59,803,84991300
