"state","incumbent","vote_margin_pct","name","votes","party","cand_code","candidate_2000","win_2000","municode","vote_share_2000","codes","margin_2000"
"PB",1,7.8821,"FRANCISCO BEZERRA DE LIMA",4941,"PFL","21474-francisco bezerra de lima",1,0,"PRINCESA ISABEL",45.208,"PB_PRINCESA ISABEL",-9.584
"PB",1,15.6906,"ORLANDO DANTAS DE MIRANDA",3694,"PFL","21490-orlando dantas de miranda",1,1,"PUXINANA",56.153,"PB_PUXINANA",12.306
"PB",1,4.17004,"FRANCISCO DE ASSIS MACIEL LOPES",9018,"PL","21512-francisco de assis maciel lopes",1,1,NA,NA,NA,NA
"PB",0,-2.1399,"JOSE VAZ DA COSTA",2721,"PPB","21571-jose vaz da costa",1,0,"RIACHO DOS CAVALOS",47.046,"PB_RIACHO DOS CAVALOS",-3.111
"PB",1,2.1399,"NAPOLEAO SUASSUNA LAUREANO",2840,"PMDB","21571-napoleao suassuna laureano",1,1,"RIACHO DOS CAVALOS",50.157,"PB_RIACHO DOS CAVALOS",3.111
"PB",1,29.2843,"MARCUS ANTONIO GERBASI",7578,"PL","21598-marcus antonio gerbasi",1,0,"RIO TINTO",47.727,"PB_RIO TINTO",-4.54600000000001
"PB",1,27.1014,"LUCIANO MORAIS DA SILVA",877,"PMDB","21610-luciano morais da silva",1,1,"SALGADINHO",55.783,"PB_SALGADINHO",11.566
"PB",1,21.5165,"JOSE LUIZ NETO",2516,"PMDB","21636-jose luiz neto",1,0,"SALGADO DE SAO FELIX",34.859,"PB_SALGADO DE SAO FELIX",-30.282
"PB",0,-3.48182,"LUIZ DINIZ SOBREIRA",1885,"PFL","21652-luiz diniz sobreira",1,1,"SANTA CRUZ",55.594,"PB_SANTA CRUZ",11.188
"PB",0,-14.5994,"BONIFACIO ROLIM DE MOURA",1439,"PPB","21679-bonifacio rolim de moura",1,0,"SANTA HELENA",29.408,"PB_SANTA HELENA",-19.666
"PB",1,14.5994,"DACIANO SOARES DE SOUSA",1931,"PMDB","21679-daciano soares de sousa",1,0,"SANTA HELENA",21.518,"PB_SANTA HELENA",-27.556
"PB",1,14.8573,"ESPEDITO ALDECI MANGUEIRA DINIZ",1952,"PFL","21717-espedito aldeci mangueira diniz",1,1,"SANTANA DE MANGUEIRA",100,"PB_SANTANA DE MANGUEIRA",NA
"PB",0,-2.59276,"JOSE CARLOS SOARES",2179,"PMDB","21733-jose carlos soares",1,1,"SANTANA DOS GARROTES",56.601,"PB_SANTANA DOS GARROTES",13.202
"PB",1,2.59276,"JOSE ALENCAR LIMA",2295,"PSDB","21733-jose alencar lima",1,0,"SANTANA DOS GARROTES",43.399,"PB_SANTANA DOS GARROTES",-13.202
"PB",1,16.6176,"SEVERINO MAROJA",16432,"PMDB","21750-severino maroja",1,1,"SANTA RITA",50.966,"PB_SANTA RITA",7.213
"PB",1,13.4688,"JOSE AFONSO GAYOSO FILHO",1647,"PSDB","21776-jose afonso gayoso filho",1,1,"SANTA TERESINHA",51.709,"PB_SANTA TERESINHA",3.41800000000001
