"vote_gop","state_abb","income","mar_gay","gun_law"
1,"NY",4,1,0
0,"GA",3,1,1
0,"WA",1,1,0
1,"PA",3,1,0
1,"CO",3,1,0
0,"OR",3,0,0
0,"MS",1,1,0
1,"OR",3,1,1
1,"VA",4,1,1
0,"LA",1,0,0
0,"CA",1,0,0
0,"MI",4,0,0
0,"WA",3,0,0
0,"VA",2,0,0
1,"NV",3,1,1
0,"IN",5,0,0
0,"CA",4,0,0
0,"CA",4,0,0
0,"MD",4,0,0
0,"VT",1,0,0
1,"PA",3,1,1
1,"MD",3,0,0
1,"PA",3,0,0
0,"NY",5,0,0
0,"WA",2,1,0
1,"FL",5,1,0
1,"CA",1,1,0
0,"MT",1,0,0
0,"OH",2,0,0
1,"IL",5,1,1
0,"MI",3,1,0
0,"CA",3,0,0
0,"MA",2,0,0
1,"NC",5,0,0
1,"NC",3,1,0
1,"KS",5,1,1
0,"WA",2,0,0
0,"NY",3,0,0
0,"IL",2,0,0
1,"NC",4,1,0
1,"AZ",5,1,0
0,"PA",4,0,0
0,"WA",3,0,0
1,"NY",4,1,0
1,"CA",3,1,1
0,"OH",5,0,0
1,"OH",3,1,0
0,"FL",3,0,0
0,"GA",3,0,0
1,"CO",2,1,0
1,"AZ",3,1,0
0,"CA",3,1,0
0,"AZ",4,0,0
1,"MA",2,1,0
0,"PA",3,0,1
0,"FL",3,0,0
1,"MO",4,1,0
1,"OH",2,1,0
1,"KY",4,1,0
0,"CA",1,0,0
1,"UT",1,1,1
1,"IN",3,1,0
1,"OH",5,1,0
0,"TN",5,0,0
0,"OH",3,0,0
1,"IL",3,1,1
1,"PA",3,1,1
1,"TX",4,1,0
0,"WA",2,0,0
1,"NE",3,1,0
1,"CA",5,1,1
0,"CO",3,0,0
0,"CO",2,0,0
1,"MI",2,1,0
1,"CA",4,1,0
1,"AZ",4,1,0
0,"TX",5,0,0
0,"MA",5,0,0
0,"TX",4,0,0
0,"CA",3,0,0
1,"CT",5,1,0
1,"AK",2,1,1
0,"CA",1,0,0
1,"CA",3,1,1
1,"GA",3,1,1
1,"TX",4,1,1
0,"OR",5,0,0
0,"KY",3,0,0
1,"AL",4,1,1
1,"FL",3,1,0
0,"IL",1,0,0
0,"VA",5,0,0
1,"TX",1,1,0
1,"FL",5,1,1
1,"TN",4,1,0
1,"GA",3,1,1
1,"FL",4,0,0
0,"PA",5,0,0
1,"CO",3,1,0
1,"FL",4,1,0
1,"IL",3,1,1
1,"WA",5,1,0
1,"AL",3,1,0
1,"FL",3,1,1
1,"WI",3,1,0
0,"CA",3,0,0
0,"PA",2,0,0
1,"NJ",3,1,0
1,"OK",5,1,0
1,"TX",3,1,0
1,"WY",5,1,1
1,"IA",5,0,0
0,"AZ",3,0,0
0,"VT",5,0,0
0,"MD",5,0,0
0,"CA",4,0,0
0,"NJ",5,0,0
0,"NY",5,0,0
1,"MI",2,1,0
1,"OH",2,1,0
1,"TX",1,0,0
0,"MI",4,0,0
1,"NJ",1,1,0
0,"WA",1,0,0
0,"OH",4,0,0
0,"LA",3,0,0
0,"MN",3,0,0
1,"CA",2,1,0
0,"CA",3,0,0
0,"FL",1,0,0
0,"TN",2,1,0
1,"IN",2,0,0
1,"OH",3,1,0
1,"TX",4,1,0
0,"FL",5,0,0
1,"GA",4,1,0
0,"MO",3,0,0
1,"FL",1,0,1
0,"CA",2,0,0
0,"WA",3,0,0
0,"OR",2,0,0
1,"FL",2,0,0
0,"KY",1,0,0
0,"MN",5,0,0
1,"IN",3,1,0
1,"NC",5,1,1
